# power spectrum of delta
# redshift z=0.000000
# k              Pk             sigma(k)       sigma(Pk)      count
  1.027699e+00   2.258971e+00   2.667523e-04   2.392163e-01   78
  1.028673e+00   1.775714e+00   2.010313e-04   2.604094e-01   72
  1.029809e+00   2.891708e+00   2.007817e-04   3.189365e-01   72
  1.030998e+00   3.239937e+00   4.845084e-04   3.407904e-01   96
  1.031937e+00   3.201671e+00   2.003678e-04   4.297160e-01   72
  1.033070e+00   2.696408e+00   0.000000e+00   4.228469e-01   24
  1.034201e+00   2.607729e+00   3.998310e-04   2.560521e-01   72
  1.036757e+00   3.567721e+00   2.539049e-04   5.326471e-01   30
  1.037307e+00   3.204447e+00   0.000000e+00   7.204415e-01   24
  1.040263e+00   3.016883e+00   2.108357e-04   5.071329e-01   48
  1.041190e+00   2.102636e+00   4.537181e-04   2.133221e-01   120
  1.042439e+00   3.004853e+00   1.983761e-04   4.195846e-01   72
  1.043701e+00   2.706367e+00   1.981363e-04   4.516816e-01   36
  1.044568e+00   2.960030e+00   3.916095e-04   3.346687e-01   78
  1.046988e+00   2.726342e+00   2.094814e-04   4.465064e-01   48
  1.050126e+00   2.937369e+00   1.695421e-08   6.801286e-01   24
  1.052361e+00   2.656606e+00   1.458786e-04   4.020428e-01   56
  1.053486e+00   2.987114e+00   2.244796e-04   3.195927e-01   102
  1.054918e+00   2.908372e+00   1.598458e-08   3.500670e-01   72
  1.055750e+00   3.845228e+00   0.000000e+00   8.933240e-01   24
  1.057203e+00   3.230942e+00   2.074574e-04   3.576868e-01   48
  1.059896e+00   2.230953e+00   0.000000e+00   4.302968e-01   24
  1.063202e+00   2.799107e+00   0.000000e+00   1.275858e+00   6
  1.064233e+00   1.764378e+00   0.000000e+00   7.423073e-01   24
  1.064920e+00   3.501889e+00   1.941879e-04   4.217510e-01   72
  1.066174e+00   3.909698e+00   3.622758e-04   4.605730e-01   84
  1.067525e+00   2.050363e+00   0.000000e+00   3.665597e-01   24
  1.067936e+00   3.417366e+00   1.695421e-08   9.617100e-01   24
  1.069988e+00   3.009709e+00   1.198844e-08   5.460877e-01   24
  1.072854e+00   4.610857e+00   0.000000e+00   1.304069e+00   6
  1.076527e+00   3.577880e+00   2.037334e-04   4.313757e-01   48
  1.077410e+00   2.863462e+00   3.838004e-04   3.215894e-01   72
  1.078563e+00   3.335711e+00   2.033489e-04   5.088107e-01   48
  1.080391e+00   2.859673e+00   0.000000e+00   5.036004e-01   24
  1.082825e+00   2.440087e+00   1.198844e-08   5.501210e-01   6
  1.088280e+00   1.923862e+00   0.000000e+00   5.282620e-01   8
  1.088683e+00   3.603543e+00   1.198844e-08   5.246317e-01   48
  1.089649e+00   3.834047e+00   1.972060e-04   4.801248e-01   60
  1.091097e+00   4.104044e+00   0.000000e+00   1.050975e+00   24
  1.093106e+00   7.617317e+00   0.000000e+00   1.234992e+00   6
  1.100504e+00   2.621217e+00   0.000000e+00   8.080023e-01   24
  1.101102e+00   2.860086e+00   1.991864e-04   4.857966e-01   48
  1.102098e+00   3.729818e+00   0.000000e+00   5.266772e-01   24
  1.103689e+00   1.269724e+00   1.198844e-08   5.078276e-01   6
  1.112726e+00   2.776432e+00   1.858219e-04   4.155963e-01   36
  1.113383e+00   4.931405e+00   0.000000e+00   1.162419e+00   24
  1.114565e+00   3.085670e+00   0.000000e+00   6.125312e-01   6
  1.124848e+00   2.524930e+00   1.688735e-04   3.690362e-01   32
  1.125725e+00   3.334559e+00   1.198844e-08   1.215768e+00   6
  1.136776e+00   5.788770e+00   0.000000e+00   2.030806e+00   12
  1.137162e+00   1.104116e+01   0.000000e+00   3.968100e+00   6
  1.148867e+00   6.759599e+00   1.695421e-08   2.484712e+00   6
